School Type,School District or Name,MMR Vaccination Rate,Age Group,metric,Size_10,Size_25,Size_100,Size_250,Size_500,Size_750,Size_1000,Size_1500,Size_2500,Size_500,average_school_size,metric_average_school_size
Public ISD,BUNA ISD,98.2,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0,0.001,0,0,491,
Public ISD,BUNA ISD,98.2,7th Grade,total_infected_mean,1,1,1.138,1.2785,1.287,1.3665,1.345,1.35,1.3985,1.3795,491,1.286694
Public ISD,BURKBURNETT ISD,98.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0.001,0,476,
Public ISD,BURKBURNETT ISD,98.4,7th Grade,total_infected_mean,1,1,1.139,1.188,1.2505,1.264,1.302,1.305,1.307,1.34,476,1.2445
Public ISD,BURKEVILLE ISD,95.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0045,0.029,0.0345,0.04,0.0535,0.0485,0.06,252,0.004696
Public ISD,BURKEVILLE ISD,95.6,7th Grade,total_infected_mean,1,1.4,1.74,2.05,2.244,2.369,2.421,2.6985,2.572,2.9455,252,2.051552
Public ISD,BURLESON ISD,98,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0.0015,0.0005,0.0025,708,
Public ISD,BURLESON ISD,98,7th Grade,total_infected_mean,1,1,1.1265,1.2535,1.357,1.3905,1.3285,1.413,1.4305,1.4195,708,1.384872
Public ISD,BURNET CISD,98.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,534,
Public ISD,BURNET CISD,98.7,7th Grade,total_infected_mean,1,1,1.129,1.2105,1.1945,1.2015,1.229,1.2315,1.25,1.259,534,1.195452
Public ISD,BURNHAM WOOD CHARTER SCHOOL DISTRICT,93,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.1115,0.164,0.1965,0.1855,0.1965,0.2075,0.204,581,0.17453
Public ISD,BURNHAM WOOD CHARTER SCHOOL DISTRICT,93,7th Grade,total_infected_mean,1,1.385,2.3695,3.6005,4.6535,5.831,6.3265,7.3235,8.96,11.303,581,5.03501
Public ISD,BURTON ISD,97.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0025,0.002,0.0065,0.005,0.0085,311,
Public ISD,BURTON ISD,97.4,7th Grade,total_infected_mean,1,1,1.3085,1.475,1.503,1.609,1.5615,1.6255,1.6295,1.665,311,1.481832
Public ISD,BUSHLAND ISD,99.2,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,358,
Public ISD,BUSHLAND ISD,99.2,7th Grade,total_infected_mean,1,1,1,1.065,1.0855,1.122,1.129,1.1215,1.118,1.142,358,1.073856
Public ISD,BYNUM ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,187,
Public ISD,BYNUM ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,187,1
Private School,Bay Area Christian School,96.8,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0035,0.008,0.01,0.0145,0.015,0.014,,0.0035
Private School,Bay Area Christian School,96.8,7th Grade,total_infected_mean,1,1,1.492,1.5395,1.757,1.8725,1.818,1.9025,1.8745,1.841,,1.757
Private School,Baytown Christian Academy,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Baytown Christian Academy,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Berean Christian Academy,91.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.2105,0.2465,0.273,0.259,0.275,0.291,0.3035,,0.2465
Private School,Berean Christian Academy,91.7,7th Grade,total_infected_mean,1,1.9005,3.158,4.8295,7.155,9.1325,10.2115,12.821,20.7115,34.389,,7.155
Private School,Bethesda Christian School,94.9,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0155,0.0575,0.0745,0.0775,0.092,0.092,0.099,,0.0575
Private School,Bethesda Christian School,94.9,7th Grade,total_infected_mean,1,1.391,1.9535,2.3475,2.7985,3.046,3.1885,3.4065,3.628,3.974,,2.7985
Private School,Bishop Dunne Catholic High School,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Bishop Dunne Catholic High School,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Bishop Garriga Middle School,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Bishop Garriga Middle School,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Blessed Sacrament Catholic School,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Blessed Sacrament Catholic School,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Blessed Sacrament School Laredo,96.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.006,0.0125,0.019,0.0195,0.0205,0.0315,,0.006
Private School,Blessed Sacrament School Laredo,96.4,7th Grade,total_infected_mean,1,1,1.482,1.6955,1.9105,1.9345,2.01,2.0765,2.034,2.196,,1.9105
Private School,Bracken Christian School,65.7,7th Grade,probability_exceeding_10_total_cases,0,0,0.8125,0.82,0.828,0.8255,0.83,0.8345,0.8195,0.835,,0.828
Private School,Bracken Christian School,65.7,7th Grade,total_infected_mean,3.382,7.3825,28.438,70.2825,141.771,211.983,283.213,427.45,699.3355,1424.0875,,141.771
Private School,Brazos Christian School,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Brazos Christian School,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Brazos Valley Cornerstone Christian Acad,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Brazos Valley Cornerstone Christian Acad,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Brazosport Christian School,91.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.2105,0.2465,0.273,0.259,0.275,0.291,0.3035,,0.2465
Private School,Brazosport Christian School,91.7,7th Grade,total_infected_mean,1,1.9005,3.158,4.8295,7.155,9.1325,10.2115,12.821,20.7115,34.389,,7.155
Private School,Brentwood Christian School,86,7th Grade,probability_exceeding_10_total_cases,0,0,0.3895,0.515,0.52,0.5445,0.546,0.5455,0.5545,0.557,,0.52
Private School,Brentwood Christian School,86,7th Grade,total_infected_mean,1.618,2.5395,6.6115,15.11,29.595,46.1395,61.3495,92.0015,157.3775,315.547,,29.595
Private School,Bridgemark Center for Learning,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Bridgemark Center for Learning,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Private School,Brighter Horizons Academy,98.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Brighter Horizons Academy,98.7,7th Grade,total_infected_mean,1,1,1.129,1.2105,1.1945,1.2015,1.229,1.2315,1.25,1.259,,1.1945
Private School,Burton Adventist Academy,88,7th Grade,probability_exceeding_10_total_cases,0,0,0.2445,0.4195,0.4455,0.4775,0.4765,0.4635,0.467,0.4725,,0.4455
Private School,Burton Adventist Academy,88,7th Grade,total_infected_mean,1.6125,1.91,4.99,10.3125,19.5515,30.3355,39.626,56.927,97.4585,195.277,,19.5515
Private School,Bynum School,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Private School,Bynum School,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Public ISD,CADDO MILLS ISD,95.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0105,0.0335,0.0495,0.055,0.0655,0.0615,0.065,614,0.040796
Public ISD,CADDO MILLS ISD,95.4,7th Grade,total_infected_mean,1,1.3825,1.7555,2.182,2.332,2.6285,2.6725,2.8855,2.882,3.0575,614,2.467204
Public ISD,CALALLEN ISD,98.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,624,
Public ISD,CALALLEN ISD,98.7,7th Grade,total_infected_mean,1,1,1.129,1.2105,1.1945,1.2015,1.229,1.2315,1.25,1.259,624,1.197972
Public ISD,CALDWELL ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,488,
Public ISD,CALDWELL ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,488,1
Public ISD,CALHOUN COUNTY ISD,99.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,497,
Public ISD,CALHOUN COUNTY ISD,99.6,7th Grade,total_infected_mean,1,1,1,1,1.0315,1.0435,1.0485,1.047,1.059,1.058,497,1.031122
Public ISD,CALLISBURG ISD,96.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0035,0.0085,0.01,0.017,0.0135,0.015,254,
Public ISD,CALLISBURG ISD,96.7,7th Grade,total_infected_mean,1,1,1.471,1.6915,1.713,1.8065,1.8825,1.8915,1.8545,1.9385,254,1.691844
Public ISD,CALVERT ISD,87.5,7th Grade,probability_exceeding_10_total_cases,0,0,0.3015,0.455,0.489,0.4795,0.4805,0.5195,0.488,0.504,145,0.34755
Public ISD,CALVERT ISD,87.5,7th Grade,total_infected_mean,1.6335,2.6125,5.5935,12.1555,22.8285,32.783,44.1915,71.2695,112.3235,228.246,145,7.5621
Public ISD,CALVIN NELMS CHARTER SCHOOLS,97.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0025,0.002,0.0065,0.005,0.0085,171,
Public ISD,CALVIN NELMS CHARTER SCHOOLS,97.4,7th Grade,total_infected_mean,1,1,1.3085,1.475,1.503,1.609,1.5615,1.6255,1.6295,1.665,171,1.38731
Public ISD,CAMERON ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,372,
Public ISD,CAMERON ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,372,1
Public ISD,CAMPBELL ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,134,
Public ISD,CAMPBELL ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,134,1
Public ISD,CANADIAN ISD,94.2,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0565,0.0955,0.119,0.1225,0.126,0.1355,0.1485,189,
Public ISD,CANADIAN ISD,94.2,7th Grade,total_infected_mean,1,1.3775,2.0225,2.897,3.384,3.839,4.0965,4.1435,4.836,5.921,189,2.54137
Public ISD,CANTON ISD,95.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0045,0.029,0.0345,0.04,0.0535,0.0485,0.06,577,0.030694
Public ISD,CANTON ISD,95.6,7th Grade,total_infected_mean,1,1.4,1.74,2.05,2.244,2.369,2.421,2.6985,2.572,2.9455,577,2.2825
Public ISD,CANUTILLO ISD,99.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,574,
Public ISD,CANUTILLO ISD,99.3,7th Grade,total_infected_mean,1,1,1,1.0585,1.086,1.1175,1.1085,1.113,1.1165,1.1195,574,1.095324
Public ISD,CANYON ISD,96.9,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0045,0.0055,0.0075,0.01,0.0145,0.013,548,0.004692
Public ISD,CANYON ISD,96.9,7th Grade,total_infected_mean,1,1,1.472,1.579,1.734,1.7755,1.7205,1.776,1.8515,1.7945,548,1.741968
Public ISD,CARLISLE ISD,95.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0105,0.0335,0.0495,0.055,0.0655,0.0615,0.065,646,0.042844
Public ISD,CARLISLE ISD,95.4,7th Grade,total_infected_mean,1,1.3825,1.7555,2.182,2.332,2.6285,2.6725,2.8855,2.882,3.0575,646,2.505156
Public ISD,CARRIZO SPRINGS CISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,463,
Public ISD,CARRIZO SPRINGS CISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,463,1
Public ISD,CARROLLTON-FARMERS BRANCH ISD,99.8,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,619,
Public ISD,CARROLLTON-FARMERS BRANCH ISD,99.8,7th Grade,total_infected_mean,1,1,1,1,1,1.02,1.015,1.019,1.031,1.0195,619,1.00952
Public ISD,CARTHAGE ISD,95.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0045,0.029,0.0345,0.04,0.0535,0.0485,0.06,527,0.029594
Public ISD,CARTHAGE ISD,95.6,7th Grade,total_infected_mean,1,1.4,1.74,2.05,2.244,2.369,2.421,2.6985,2.572,2.9455,527,2.2575
Public ISD,CASTLEBERRY ISD,99,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,546,
Public ISD,CASTLEBERRY ISD,99,7th Grade,total_infected_mean,1,1,1,1.123,1.139,1.1425,1.1515,1.174,1.1685,1.183,546,1.139644
Public ISD,CAYUGA ISD,91.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.2105,0.2465,0.273,0.259,0.275,0.291,0.3035,192,
Public ISD,CAYUGA ISD,91.7,7th Grade,total_infected_mean,1,1.9005,3.158,4.8295,7.155,9.1325,10.2115,12.821,20.7115,34.389,192,4.183186667
Public ISD,CEDAR HILL ISD,98.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0.0005,0.0005,538,
Public ISD,CEDAR HILL ISD,98.3,7th Grade,total_infected_mean,1,1,1.13,1.269,1.331,1.307,1.3315,1.321,1.337,1.3435,538,1.327352
Public ISD,CEDARS INTERNATIONAL ACADEMY,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,262,
Public ISD,CEDARS INTERNATIONAL ACADEMY,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,262,1
Public ISD,CELESTE ISD,94.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.028,0.0835,0.106,0.1075,0.12,0.1165,0.1245,163,
Public ISD,CELESTE ISD,94.4,7th Grade,total_infected_mean,1,1.3965,1.9825,2.523,3.0385,3.549,3.722,4.2335,4.5625,4.94,163,2.20951
Public ISD,CELINA ISD,96.8,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0035,0.008,0.01,0.0145,0.015,0.014,701,0.007118
Public ISD,CELINA ISD,96.8,7th Grade,total_infected_mean,1,1,1.492,1.5395,1.757,1.8725,1.818,1.9025,1.8745,1.841,701,1.849862
Public ISD,CENTER ISD,99.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,461,
Public ISD,CENTER ISD,99.4,7th Grade,total_infected_mean,1,1,1,1.059,1.0665,1.084,1.082,1.0845,1.0925,1.1,461,1.06533
Public ISD,CENTER POINT ISD,97.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0025,0.002,0.0065,0.005,0.0085,178,
Public ISD,CENTER POINT ISD,97.4,7th Grade,total_infected_mean,1,1,1.3085,1.475,1.503,1.609,1.5615,1.6255,1.6295,1.665,178,1.39508
Public ISD,CENTERVILLE ISD,92.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.1695,0.213,0.2265,0.245,0.244,0.252,0.2545,273,0.173502
Public ISD,CENTERVILLE ISD,98,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0.0015,0.0005,0.0025,273,
Public ISD,CENTERVILLE ISD,92.3,7th Grade,total_infected_mean,1,1.3775,2.707,4.2705,5.8965,7.0895,8.6015,10.614,14.1555,20.6645,273,4.420092
Public ISD,CENTERVILLE ISD,98,7th Grade,total_infected_mean,1,1,1.1265,1.2535,1.357,1.3905,1.3285,1.413,1.4305,1.4195,273,1.263022
Public ISD,CENTRAL HEIGHTS ISD,99,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,365,
Public ISD,CENTRAL HEIGHTS ISD,99,7th Grade,total_infected_mean,1,1,1,1.123,1.139,1.1425,1.1515,1.174,1.1685,1.183,365,1.13036
Public ISD,CENTRAL ISD,97.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0005,0.002,0.0035,0.0055,0.009,0.0075,326,
Public ISD,CENTRAL ISD,97.3,7th Grade,total_infected_mean,1,1,1.2945,1.457,1.5185,1.602,1.621,1.6515,1.727,1.7285,326,1.475696
Public ISD,CHANNELVIEW ISD,98.5,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,773,
Public ISD,CHANNELVIEW ISD,98.5,7th Grade,total_infected_mean,1,1,1.122,1.19,1.2525,1.263,1.2635,1.2845,1.311,1.288,773,1.263046
Public ISD,CHANNING ISD,91.7,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.2105,0.2465,0.273,0.259,0.275,0.291,0.3035,121,
Public ISD,CHANNING ISD,91.7,7th Grade,total_infected_mean,1,1.9005,3.158,4.8295,7.155,9.1325,10.2115,12.821,20.7115,34.389,121,3.39201
Public ISD,CHAPARRAL STAR ACADEMY,95.2,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.01,0.031,0.0605,0.065,0.0675,0.081,0.073,364,0.019576
Public ISD,CHAPARRAL STAR ACADEMY,95.2,7th Grade,total_infected_mean,1,1.382,1.6835,2.211,2.411,2.7375,2.8565,2.8735,3.2775,3.3385,364,2.3022
Public ISD,CHAPEL HILL ACADEMY,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,,
Public ISD,CHAPEL HILL ACADEMY,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,,1
Public ISD,CHAPEL HILL ISD,97.1,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.002,0.005,0.0075,0.0075,0.0095,0.011,500,0.002
Public ISD,CHAPEL HILL ISD,97.1,7th Grade,total_infected_mean,1,1,1.284,1.62,1.6245,1.6765,1.689,1.722,1.7485,1.764,500,1.6245
Public ISD,CHARLOTTE ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,141,
Public ISD,CHARLOTTE ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,141,1
Public ISD,CHEROKEE ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,123,
Public ISD,CHEROKEE ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,123,1
Public ISD,CHESTER ISD,86.7,7th Grade,probability_exceeding_10_total_cases,0,0,0.397,0.509,0.514,0.535,0.5185,0.5245,0.531,0.5205,97,
Public ISD,CHESTER ISD,86.7,7th Grade,total_infected_mean,1.583,2.558,6.64,14.2995,26.4835,41.6395,52.6255,81.5185,136.847,266.9675,97,6.47672
Public ISD,CHICO ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,190,
Public ISD,CHICO ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,190,1
Public ISD,CHILDRESS ISD,95.8,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.02,0.0355,0.039,0.041,0.047,0.0475,326,
Public ISD,CHILDRESS ISD,95.8,7th Grade,total_infected_mean,1,1.3825,1.7735,1.937,2.1,2.3515,2.3795,2.373,2.5195,2.621,326,1.986552
Public ISD,CHILLICOTHE ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,189,
Public ISD,CHILLICOTHE ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,189,1
Public ISD,CHILTON ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,566,
Public ISD,CHILTON ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,566,1
Public ISD,CHINA SPRING ISD,97.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0.001,0.001,0.004,0.0045,464,
Public ISD,CHINA SPRING ISD,97.6,7th Grade,total_infected_mean,1,1,1.316,1.336,1.429,1.4965,1.4835,1.501,1.5385,1.606,464,1.415608
Public ISD,CHIRENO ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,182,
Public ISD,CHIRENO ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,182,1
Public ISD,CHISUM ISD,95.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0045,0.029,0.0345,0.04,0.0535,0.0485,0.06,394,0.018612
Public ISD,CHISUM ISD,95.6,7th Grade,total_infected_mean,1,1.4,1.74,2.05,2.244,2.369,2.421,2.6985,2.572,2.9455,394,2.161744
Public ISD,CHRISTOVAL ISD,93.9,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0755,0.1125,0.118,0.1175,0.144,0.16,0.141,165,
Public ISD,CHRISTOVAL ISD,93.9,7th Grade,total_infected_mean,1,1.375,2.3355,3.1895,3.7275,4.001,4.212,4.988,6.1005,5.8895,165,2.705566667
Public ISD,CISCO ISD,89.6,7th Grade,probability_exceeding_10_total_cases,0,0,0.1355,0.346,0.3905,0.3905,0.4105,0.4045,0.414,0.3965,188,0.258993333
Public ISD,CISCO ISD,89.6,7th Grade,total_infected_mean,1.613,1.8915,4.2875,8.0325,13.785,18.936,25.198,36.199,60.0305,111.34,188,6.484566667
Public ISD,CITY VIEW ISD,98.1,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0.0005,0.0015,0.0005,0.0005,413,
Public ISD,CITY VIEW ISD,98.1,7th Grade,total_infected_mean,1,1,1.132,1.24,1.329,1.406,1.3835,1.407,1.3835,1.3925,413,1.298028
Public ISD,CITYSCAPE SCHOOLS,95.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0105,0.0335,0.0495,0.055,0.0655,0.0615,0.065,629,0.041756
Public ISD,CITYSCAPE SCHOOLS,95.4,7th Grade,total_infected_mean,1,1.3825,1.7555,2.182,2.332,2.6285,2.6725,2.8855,2.882,3.0575,629,2.484994
Public ISD,CLARENDON ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,133,
Public ISD,CLARENDON ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,133,1
Public ISD,CLARKSVILLE ISD,97.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0025,0.002,0.0065,0.005,0.0085,250,
Public ISD,CLARKSVILLE ISD,97.4,7th Grade,total_infected_mean,1,1,1.3085,1.475,1.503,1.609,1.5615,1.6255,1.6295,1.665,250,1.475
Public ISD,CLAUDE ISD,90,7th Grade,probability_exceeding_10_total_cases,0,0,0.058,0.2995,0.342,0.3515,0.3795,0.3885,0.388,0.3885,297,0.30749
Public ISD,CLAUDE ISD,90,7th Grade,total_infected_mean,1,1.879,3.6575,6.821,11.375,15.5895,21.199,30.666,48.424,92.614,297,7.677152
Public ISD,CLEAR CREEK ISD,98.1,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0.0005,0.0015,0.0005,0.0005,871,
Public ISD,CLEAR CREEK ISD,98.1,7th Grade,total_infected_mean,1,1,1.132,1.24,1.329,1.406,1.3835,1.407,1.3835,1.3925,871,1.39511
Public ISD,CLEBURNE ISD,98.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0.0005,0.0005,625,
Public ISD,CLEBURNE ISD,98.3,7th Grade,total_infected_mean,1,1,1.13,1.269,1.331,1.307,1.3315,1.321,1.337,1.3435,625,1.319
Public ISD,CLEVELAND ISD,99.8,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,1137,
Public ISD,CLEVELAND ISD,99.8,7th Grade,total_infected_mean,1,1,1,1,1,1.02,1.015,1.019,1.031,1.0195,1137,1.016096
Public ISD,CLIFTON ISD,95.4,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0105,0.0335,0.0495,0.055,0.0655,0.0615,0.065,333,0.018136
Public ISD,CLIFTON ISD,95.4,7th Grade,total_infected_mean,1,1.3825,1.7555,2.182,2.332,2.6285,2.6725,2.8855,2.882,3.0575,333,2.2318
Public ISD,CLINT ISD,99.5,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,719,
Public ISD,CLINT ISD,99.5,7th Grade,total_infected_mean,1,1,1,1.0575,1.0625,1.0625,1.07,1.067,1.0835,1.083,719,1.0625
Public ISD,CLYDE CISD,99,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,348,
Public ISD,CLYDE CISD,99,7th Grade,total_infected_mean,1,1,1,1.123,1.139,1.1425,1.1515,1.174,1.1685,1.183,348,1.129272
Public ISD,COAHOMA ISD,93.9,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0755,0.1125,0.118,0.1175,0.144,0.16,0.141,361,0.091928
Public ISD,COAHOMA ISD,93.9,7th Grade,total_infected_mean,1,1.375,2.3355,3.1895,3.7275,4.001,4.212,4.988,6.1005,5.8895,361,3.428372
Public ISD,COLDSPRING-OAKHURST CISD,96.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0015,0.0145,0.018,0.0175,0.0245,0.0325,0.035,396,0.009092
Public ISD,COLDSPRING-OAKHURST CISD,96.3,7th Grade,total_infected_mean,1,1,1.48,1.7865,1.9865,2.0465,1.926,2.2145,2.1935,2.318,396,1.9033
Public ISD,COLEMAN ISD,96.9,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0045,0.0055,0.0075,0.01,0.0145,0.013,265,
Public ISD,COLEMAN ISD,96.9,7th Grade,total_infected_mean,1,1,1.472,1.579,1.734,1.7755,1.7205,1.776,1.8515,1.7945,265,1.5883
Public ISD,COLLEGE STATION ISD,98.2,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0,0.001,0,0,698,
Public ISD,COLLEGE STATION ISD,98.2,7th Grade,total_infected_mean,1,1,1.138,1.2785,1.287,1.3665,1.345,1.35,1.3985,1.3795,698,1.349964
Public ISD,COLLINSVILLE ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,300,
Public ISD,COLLINSVILLE ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,300,1
Public ISD,COLMESNEIL ISD,94.1,7th Grade,probability_exceeding_10_total_cases,0,0,0,0.0505,0.0925,0.122,0.1195,0.1335,0.129,0.1375,207,
Public ISD,COLMESNEIL ISD,94.1,7th Grade,total_infected_mean,1,1.3795,1.9985,2.8065,3.3825,3.94,4.076,4.5365,4.9335,5.7785,207,2.574873333
Public ISD,COLORADO ISD,100,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,272,
Public ISD,COLORADO ISD,100,7th Grade,total_infected_mean,1,1,1,1,1,1,1,1,1,1,272,1
Public ISD,COLUMBIA-BRAZORIA ISD,98.6,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,455,
Public ISD,COLUMBIA-BRAZORIA ISD,98.6,7th Grade,total_infected_mean,1,1,1.141,1.1965,1.216,1.268,1.229,1.239,1.246,1.257,455,1.21249
Public ISD,COLUMBUS ISD,97.3,7th Grade,probability_exceeding_10_total_cases,0,0,0,0,0.0005,0.002,0.0035,0.0055,0.009,0.0075,374,
Public ISD,COLUMBUS ISD,97.3,7th Grade,total_infected_mean,1,1,1.2945,1.457,1.5185,1.602,1.621,1.6515,1.727,1.7285,374,1.487504
